Label,releaseYear,releaseMonth,sommeCopiesSold
Casual,2018,Jul,1480128
Casual,2018,Jun,1227136
Casual,2018,Mar,2260532
Casual,2018,May,3113604
Casual,2018,Nov,24773420
Casual,2018,Oct,1915058
Casual,2018,Sep,8645950
Casual,2018,NULL,64443526
Casual,2019,Apr,5248722
Casual,2019,Aug,2469672
Casual,2019,Dec,4793049
Casual,2019,Feb,4984827
Casual,2019,Jan,3664072
Casual,2019,Jul,6202959
Casual,2019,Jun,15149884
Casual,2019,Mar,2347016
Casual,2019,May,3008258
Casual,2019,Nov,5398923
Casual,2019,Oct,4444548
Casual,2019,Sep,4813070
Casual,2019,NULL,62525000
Casual,2020,Apr,5115074
Casual,2020,Aug,9861494
Casual,2020,Dec,4500961
Casual,2020,Feb,11717274
Casual,2020,Jan,2392473
Casual,2020,Jul,4726308
Casual,2020,Jun,26862916
Casual,2020,Mar,3504888
Casual,2020,May,8696488
Casual,2020,Nov,3712111
Casual,2020,Oct,5498801
Casual,2020,Sep,4477623
Casual,2020,NULL,91066411
Casual,2021,Apr,5811938
Casual,2021,Aug,7174333
Casual,2021,Dec,5672367
Casual,2021,Feb,2303760
Casual,2021,Jan,2348562
Casual,2021,Jul,5914921
Casual,2021,Jun,3810763
Casual,2021,Mar,7443338
Casual,2021,May,2977252
Casual,2021,Nov,20392918
Casual,2021,Oct,40552143
Casual,2021,Sep,9860515
Casual,2021,NULL,114262810
Casual,2022,Apr,4780726
Casual,2022,Aug,14309704
Casual,2022,Dec,2353876
Casual,2022,Feb,3046897
Casual,2022,Jan,3217692
Casual,2022,Jul,4932476
Casual,2022,Jun,2315636
Casual,2022,Mar,7875056
Casual,2022,May,8546802
Casual,2022,Nov,5313157
Casual,2022,Oct,11733507
Casual,2022,Sep,5964788
Casual,2022,NULL,74390317
Casual,2023,Apr,3847604
Casual,2023,Aug,10990221
Casual,2023,Dec,4464322
Casual,2023,Feb,6103961
Casual,2023,Jan,4809504
Casual,2023,Jul,4271493
Casual,2023,Jun,31955150
Casual,2023,Mar,6425223
Casual,2023,May,2346477
Casual,2023,Nov,6603427
Casual,2023,Oct,2177867
Casual,2023,Sep,6327866
Casual,2023,NULL,90323115
Casual,2024,Apr,41512784
Casual,2024,Aug,7623629
Casual,2024,Feb,8402750
Casual,2024,Jan,3680132
Casual,2024,Jul,4586498
Casual,2024,Jun,7705252
Casual,2024,Mar,3515434
Casual,2024,May,5203735
Casual,2024,Sep,456854
Casual,2024,NULL,82687068
Casual,NULL,NULL,936239910
"Free to Play",2007,Sep,284251
"Free to Play",2007,NULL,284251
"Free to Play",2008,Jul,44659
"Free to Play",2008,Oct,1062576
"Free to Play",2008,NULL,1107235
"Free to Play",2009,Dec,484973
"Free to Play",2009,Feb,140554
"Free to Play",2009,NULL,625527
"Free to Play",2010,Feb,750043
"Free to Play",2010,NULL,750043
"Free to Play",2011,Aug,180751
"Free to Play",2011,Dec,4731109
"Free to Play",2011,Jun,3413805
"Free to Play",2011,Mar,1625357
"Free to Play",2011,May,1317998
"Free to Play",2011,Nov,1590408
"Free to Play",2011,Oct,253851
"Free to Play",2011,NULL,13113279
"Free to Play",2012,Aug,3963439
"Free to Play",2012,Dec,587339
"Free to Play",2012,Feb,11526542
"Free to Play",2012,Jan,1564565
"Free to Play",2012,Jun,2920321
"Free to Play",2012,Nov,7602739
"Free to Play",2012,NULL,28164945
"Free to Play",2013,Aug,3862572
"Free to Play",2013,Dec,249992
"Free to Play",2013,Feb,2214326
"Free to Play",2013,Nov,344944
"Free to Play",2013,Oct,7301116
"Free to Play",2013,Sep,244346
"Free to Play",2013,NULL,14217296
"Free to Play",2014,Apr,513142
"Free to Play",2014,Aug,5154364
"Free to Play",2014,Dec,3008528
"Free to Play",2014,Feb,2215235
"Free to Play",2014,Jul,14464493
"Free to Play",2014,Jun,5601412
"Free to Play",2014,May,3383253
"Free to Play",2014,Nov,3561380
"Free to Play",2014,Oct,6270717
"Free to Play",2014,Sep,2535747
"Free to Play",2014,NULL,46708271
"Free to Play",2015,Apr,5176088
"Free to Play",2015,Aug,3342628
"Free to Play",2015,Dec,3362919
"Free to Play",2015,Feb,1398698
"Free to Play",2015,Jan,6411676
"Free to Play",2015,Jul,13019170
"Free to Play",2015,Jun,7180993
"Free to Play",2015,Mar,481459
"Free to Play",2015,May,6211937
"Free to Play",2015,Nov,2078658
"Free to Play",2015,Oct,366718
"Free to Play",2015,Sep,9903709
"Free to Play",2015,NULL,58934653
"Free to Play",2016,Apr,7731003
"Free to Play",2016,Aug,3773248
"Free to Play",2016,Dec,3933912
"Free to Play",2016,Feb,6098316
"Free to Play",2016,Jan,6324578
"Free to Play",2016,Jul,2684685
"Free to Play",2016,Jun,2060498
"Free to Play",2016,Mar,2556733
"Free to Play",2016,May,3564782
"Free to Play",2016,Nov,11646764
"Free to Play",2016,Oct,6015036
"Free to Play",2016,Sep,1659023
"Free to Play",2016,NULL,58048578
"Free to Play",2017,Apr,6306421
"Free to Play",2017,Aug,18283854
"Free to Play",2017,Dec,15926378
"Free to Play",2017,Feb,22403804
